protein_group,sequence_count
sp|A0A024R1R8|TMA7B_HUMAN;sp|Q9Y2S6|TMA7_HUMAN,1
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q8NFP7|NUD10_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,2
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,3
sp|A0A075B6H7|KV37_HUMAN,1
sp|A0A075B6H7|KV37_HUMAN;sp|A0A0C4DH55|KVD07_HUMAN;sp|P01624|KV315_HUMAN,1
sp|A0A075B6H9|LV469_HUMAN,2
sp|A0A075B6H9|LV469_HUMAN;sp|A0A075B6K6|LV403_HUMAN;sp|A0A0B4J1Y8|LV949_HUMAN,1
sp|A0A075B6I0|LV861_HUMAN,2
sp|A0A075B6I1|LV460_HUMAN,1
sp|A0A075B6I4|LVX54_HUMAN,1
sp|A0A075B6I9|LV746_HUMAN;sp|P04211|LV743_HUMAN,2
sp|A0A075B6K2|LV312_HUMAN,1
sp|A0A075B6K2|LV312_HUMAN;sp|A0A075B6K5|LV39_HUMAN;sp|P80748|LV321_HUMAN,1
sp|A0A075B6K4|LV310_HUMAN,1
sp|A0A075B6K4|LV310_HUMAN;sp|P01715|LV301_HUMAN,1
sp|A0A075B6K4|LV310_HUMAN;sp|P01717|LV325_HUMAN,1
sp|A0A075B6K5|LV39_HUMAN,1
sp|A0A075B6K5|LV39_HUMAN;sp|P80748|LV321_HUMAN,1
sp|A0A075B6P5|KV228_HUMAN;sp|A0A075B6S2|KVD29_HUMAN;sp|A0A075B6S6|KVD30_HUMAN;sp|A0A087WW87|KV240_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A2NJV5|KV229_HUMAN;sp|P01614|KVD40_HUMAN;sp|P01615|KVD28_HUMAN;sp|P06310|KV230_HUMAN,2
sp|A0A075B6Q5|HV364_HUMAN,1
sp|A0A075B6R2|HV404_HUMAN;sp|A0A087WSY4|HV432_HUMAN;sp|A0A0C4DH41|HV461_HUMAN;sp|P01824|HV439_HUMAN;sp|P01825|HV459_HUMAN;sp|P06331|HV434_HUMAN;sp|P0DP06|HVD34_HUMAN;sp|P0DP07|HV431_HUMAN;sp|P0DP08|HVD82_HUMAN,1
sp|A0A075B6R9|KVD24_HUMAN;sp|A0A075B6S2|KVD29_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A0A0C4DH68|KV224_HUMAN;sp|A2NJV5|KV229_HUMAN,1
sp|A0A075B6R9|KVD24_HUMAN;sp|A0A0C4DH68|KV224_HUMAN,1
sp|A0A075B6S2|KVD29_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A2NJV5|KV229_HUMAN,1
sp|A0A075B6S4|KVD17_HUMAN,1
sp|A0A075B6S5|KV127_HUMAN,2
sp|A0A075B6S9|KV137_HUMAN;sp|P0DSN7|KVD37_HUMAN,3
sp|A0A075B6T7|TVA6_HUMAN,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P0DN37|PAL4G_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1
sp|A0A075B767|PAL4H_HUMAN,2
sp|A0A087WSY6|KVD15_HUMAN,1
sp|A0A087WSZ0|KVD08_HUMAN,1
sp|A0A096LP49|CC187_HUMAN,2
sp|A0A0A0MRZ8|KVD11_HUMAN;sp|P04433|KV311_HUMAN,1
sp|A0A0A0MS14|HV145_HUMAN,1
sp|A0A0A0MS15|HV349_HUMAN,3
sp|A0A0A0MT36|KVD21_HUMAN;sp|A0A0C4DH26|KVD41_HUMAN,1
sp|A0A0B4J1U7|HV601_HUMAN,1
sp|A0A0B4J1V0|HV315_HUMAN,2
sp|A0A0B4J1V0|HV315_HUMAN;sp|A0A0B4J1V6|HV373_HUMAN;sp|A0A0B4J1Y9|HV372_HUMAN,1
sp|A0A0B4J1V0|HV315_HUMAN;sp|A0A0B4J1Y9|HV372_HUMAN,1
sp|A0A0B4J1V1|HV321_HUMAN;sp|A0A0B4J1X5|HV374_HUMAN;sp|A0A0C4DH42|HV366_HUMAN;sp|A0A0J9YVY3|HV741_HUMAN;sp|P01762|HV311_HUMAN;sp|P01763|HV348_HUMAN;sp|P01767|HV353_HUMAN;sp|P01772|HV333_HUMAN;sp|P01780|HV307_HUMAN;sp|P0DOX2|IGA2_HUMAN;sp|P0DP02|HVC33_HUMAN,1
sp|A0A0B4J1V1|HV321_HUMAN;sp|A0A0B4J1X8|HV343_HUMAN;sp|A0A0C4DH32|HV320_HUMAN;sp|P01762|HV311_HUMAN;sp|P01763|HV348_HUMAN;sp|P01766|HV313_HUMAN;sp|P01780|HV307_HUMAN;sp|P01782|HV309_HUMAN;sp|P0DP04|HV43D_HUMAN,1
sp|A0A0B4J1V1|HV321_HUMAN;sp|A0A0C4DH32|HV320_HUMAN;sp|P01762|HV311_HUMAN;sp|P01763|HV348_HUMAN;sp|P01780|HV307_HUMAN;sp|P01782|HV309_HUMAN,1
sp|A0A0B4J1V2|HV226_HUMAN,1
sp|A0A0B4J1V6|HV373_HUMAN,1
sp|A0A0B4J1V7|HV781_HUMAN,1
sp|A0A0B4J1X5|HV374_HUMAN,4
sp|A0A0B4J1X5|HV374_HUMAN;sp|A0A0C4DH42|HV366_HUMAN;sp|P01764|HV323_HUMAN;sp|P01767|HV353_HUMAN;sp|P01768|HV330_HUMAN;sp|P01772|HV333_HUMAN;sp|P0DP02|HVC33_HUMAN;sp|P0DP03|HVC05_HUMAN,1
sp|A0A0B4J1X8|HV343_HUMAN;sp|P0DP04|HV43D_HUMAN,2
sp|A0A0B4J1Y8|LV949_HUMAN,1
sp|A0A0B4J1Y9|HV372_HUMAN,3
sp|A0A0B4J1Z2|KVD43_HUMAN,2
sp|A0A0B4J271|TVAL3_HUMAN,1
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,10
sp|A0A0B4J2H0|HV69D_HUMAN;sp|A0A0C4DH29|HV103_HUMAN;sp|P01742|HV169_HUMAN;sp|P01743|HV146_HUMAN;sp|P0DP01|HV108_HUMAN,1
sp|A0A0C4DH24|KV621_HUMAN,2
sp|A0A0C4DH25|KVD20_HUMAN,1
sp|A0A0C4DH25|KVD20_HUMAN;sp|P01619|KV320_HUMAN,2
sp|A0A0C4DH29|HV103_HUMAN,2
sp|A0A0C4DH30|HV316_HUMAN,1
sp|A0A0C4DH31|HV118_HUMAN,2
sp|A0A0C4DH31|HV118_HUMAN;sp|P23083|HV102_HUMAN,1
sp|A0A0C4DH35|HV335_HUMAN,1
sp|A0A0C4DH36|HV338_HUMAN,5
sp|A0A0C4DH38|HV551_HUMAN,2
sp|A0A0C4DH38|HV551_HUMAN;sp|A0A0J9YXX1|HV5X1_HUMAN,1
sp|A0A0C4DH39|HV158_HUMAN,1
sp|A0A0C4DH41|HV461_HUMAN;sp|P01824|HV439_HUMAN;sp|P01825|HV459_HUMAN;sp|P06331|HV434_HUMAN;sp|P0DP06|HVD34_HUMAN;sp|P0DP08|HVD82_HUMAN,2
sp|A0A0C4DH42|HV366_HUMAN;sp|P01764|HV323_HUMAN;sp|P01767|HV353_HUMAN;sp|P01768|HV330_HUMAN;sp|P01772|HV333_HUMAN;sp|P0DP02|HVC33_HUMAN;sp|P0DP03|HVC05_HUMAN,2
sp|A0A0C4DH42|HV366_HUMAN;sp|P01767|HV353_HUMAN;sp|P01772|HV333_HUMAN;sp|P0DP02|HVC33_HUMAN,1
sp|A0A0C4DH43|HV70D_HUMAN;sp|P0DOX6|IGM_HUMAN,1
sp|A0A0C4DH73|KV112_HUMAN;sp|P01611|KVD12_HUMAN,1
sp|A0A0J9YVY3|HV741_HUMAN,1
sp|A0A0J9YX35|HV64D_HUMAN,3
sp|A0A0J9YXX1|HV5X1_HUMAN,1
sp|A0A0J9YY54|TX13D_HUMAN,1
sp|A0A0U1RRI6|CENL3_HUMAN,1
sp|A0A0U1RRK4|LBHD2_HUMAN,1
sp|A0A0U1RRL7|MMPOS_HUMAN,1
sp|A0A1B0GTU1|ZC11B_HUMAN;sp|O75152|ZC11A_HUMAN;sp|P0DQW0|ZC11C_HUMAN,2
sp|A0A1B0GUJ8|PNM8C_HUMAN,1
sp|A0A1B0GUS4|UB2L5_HUMAN;sp|P68036|UB2L3_HUMAN,3
sp|A0A1B0GUU1|CQ113_HUMAN,1
sp|A0A1B0GV03|GG6L7_HUMAN,1
sp|A0A1W2PPD8|KDM4F_HUMAN,2
sp|A0A1W2PPH5|TFLM_HUMAN;sp|A6NLC8|TFKL2_HUMAN,1
sp|A0A1W2PPW3|TFKLL_HUMAN;sp|A0A1W2PQ09|TFKLK_HUMAN,1
sp|A0A1W2PQ72|MSD7_HUMAN,2
