protein_group,sequence_count
sp|A0A0B4J1X5|HV374_HUMAN;sp|A0A0C4DH42|HV366_HUMAN;sp|P01764|HV323_HUMAN;sp|P01767|HV353_HUMAN;sp|P01768|HV330_HUMAN;sp|P01772|HV333_HUMAN;sp|P0DP02|HVC33_HUMAN;sp|P0DP03|HVC05_HUMAN,1
sp|A0A0C4DH36|HV338_HUMAN,1
sp|A0A1B0GTU1|ZC11B_HUMAN;sp|O75152|ZC11A_HUMAN;sp|P0DQW0|ZC11C_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P51991|ROA3_HUMAN;sp|Q32P51|RA1L2_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,2
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1
sp|A0A3B3IU46|RMACL_HUMAN;sp|Q9BTL3|RAMAC_HUMAN,1
sp|A0A494C071|PWWP4_HUMAN,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,5
sp|A0AVF1|IFT56_HUMAN,1
sp|A0AVT1|UBA6_HUMAN,1
sp|A0MZ66|SHOT1_HUMAN,2
sp|A1A5B4|ANO9_HUMAN,1
sp|A1L0T0|HACL2_HUMAN,1
sp|A2A2Z9|AN18B_HUMAN;sp|Q8IVF6|AN18A_HUMAN,1
sp|A2A3N6|PIPSL_HUMAN;sp|P55036|PSMD4_HUMAN,1
sp|A2RUS2|DEND3_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5LHX3|PSB11_HUMAN,1
sp|A5YKK6|CNOT1_HUMAN,2
sp|A6NDG6|PGP_HUMAN,1
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,3
sp|A6NFN3|RFOX3_HUMAN;sp|O43251|RFOX2_HUMAN;sp|Q9NWB1|RFOX1_HUMAN,1
sp|A6NFQ2|TCAF2_HUMAN,1
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,1
sp|A6NHL2|TBAL3_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN,1
sp|A6NHQ2|FBLL1_HUMAN;sp|P22087|FBRL_HUMAN,1
sp|A6NHR9|SMHD1_HUMAN,1
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN,1
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,9
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,3
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BVA1|TBB2B_HUMAN,1
sp|A7E2Y1|MYH7B_HUMAN,1
sp|A8MUU1|FB5L3_HUMAN;sp|Q01469|FABP5_HUMAN,1
sp|A8MVW0|F1712_HUMAN,1
sp|B0I1T2|MYO1G_HUMAN,4
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN,2
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN;sp|P26583|HMGB2_HUMAN,1
