protein_group,sequence_count
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q8NFP7|NUD10_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,2
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,3
sp|A0A075B6H7|KV37_HUMAN;sp|A0A0C4DH55|KVD07_HUMAN;sp|P01624|KV315_HUMAN,1
sp|A0A075B6H9|LV469_HUMAN,1
sp|A0A075B6H9|LV469_HUMAN;sp|A0A075B6K6|LV403_HUMAN;sp|A0A0B4J1Y8|LV949_HUMAN,1
sp|A0A075B6I0|LV861_HUMAN,2
sp|A0A075B6I1|LV460_HUMAN,1
sp|A0A075B6I6|LV150_HUMAN,1
sp|A0A075B6I9|LV746_HUMAN;sp|P04211|LV743_HUMAN,2
sp|A0A075B6J2|LV233_HUMAN,1
sp|A0A075B6K0|LV316_HUMAN;sp|A0A075B6K4|LV310_HUMAN,1
sp|A0A075B6K2|LV312_HUMAN;sp|A0A075B6K5|LV39_HUMAN;sp|P80748|LV321_HUMAN,1
sp|A0A075B6K4|LV310_HUMAN;sp|P01715|LV301_HUMAN,1
sp|A0A075B6K4|LV310_HUMAN;sp|P01717|LV325_HUMAN,1
sp|A0A075B6K5|LV39_HUMAN,1
sp|A0A075B6K5|LV39_HUMAN;sp|P80748|LV321_HUMAN,1
sp|A0A075B6P5|KV228_HUMAN;sp|A0A075B6S2|KVD29_HUMAN;sp|A0A075B6S6|KVD30_HUMAN;sp|A0A087WW87|KV240_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A2NJV5|KV229_HUMAN;sp|P01614|KVD40_HUMAN;sp|P01615|KVD28_HUMAN;sp|P06310|KV230_HUMAN,1
sp|A0A075B6R2|HV404_HUMAN;sp|A0A087WSY4|HV432_HUMAN;sp|A0A0C4DH41|HV461_HUMAN;sp|P01824|HV439_HUMAN;sp|P01825|HV459_HUMAN;sp|P06331|HV434_HUMAN;sp|P0DP06|HVD34_HUMAN;sp|P0DP07|HV431_HUMAN;sp|P0DP08|HVD82_HUMAN,1
sp|A0A075B6R9|KVD24_HUMAN;sp|A0A075B6S2|KVD29_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A0A0C4DH68|KV224_HUMAN;sp|A2NJV5|KV229_HUMAN,1
sp|A0A075B6S9|KV137_HUMAN;sp|P0DSN7|KVD37_HUMAN,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P0DN37|PAL4G_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1
sp|A0A087WSY4|HV432_HUMAN,1
sp|A0A087WSY6|KVD15_HUMAN;sp|P01624|KV315_HUMAN,2
sp|A0A0A0MRZ8|KVD11_HUMAN;sp|P04433|KV311_HUMAN,2
