protein_group,sequence_count
sp|A0A0U1RRI6|CENL3_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,2
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,3
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,1
sp|A6NHL2|TBAL3_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN,1
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,7
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,3
sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P08754|GNAI3_HUMAN;sp|P09471|GNAO_HUMAN;sp|P11488|GNAT1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|P63096|GNAI1_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,1
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN,2
sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P07910|HNRPC_HUMAN;sp|P0DMR1|HNRC4_HUMAN,4
sp|B5ME19|EIFCL_HUMAN;sp|Q99613|EIF3C_HUMAN,2
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN,3
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN,1
sp|O00264|PGRC1_HUMAN,1
sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,3
sp|O14818|PSA7_HUMAN;sp|Q8TAA3|PSMA8_HUMAN,1
sp|O14950|ML12B_HUMAN;sp|P19105|ML12A_HUMAN;sp|P24844|MYL9_HUMAN,1
sp|O14979|HNRDL_HUMAN,2
sp|O14979|HNRDL_HUMAN;sp|Q99729|ROAA_HUMAN,1
sp|O15347|HMGB3_HUMAN,1
sp|O15371|EIF3D_HUMAN,1
sp|O43175|SERA_HUMAN,8
sp|O43242|PSMD3_HUMAN,1
sp|O43390|HNRPR_HUMAN,1
sp|O43390|HNRPR_HUMAN;sp|O60506|HNRPQ_HUMAN,3
sp|O43399|TPD54_HUMAN,1
sp|O43670|ZN207_HUMAN,1
sp|O43707|ACTN4_HUMAN,2
sp|O43707|ACTN4_HUMAN;sp|P12814|ACTN1_HUMAN;sp|P35609|ACTN2_HUMAN;sp|Q08043|ACTN3_HUMAN,1
