protein_group,precursor_num,scan_num
sp|A0JNU3|LPP60_MOUSE,5,5
sp|A1A535|MELT_MOUSE,1,1
sp|A1L317|K1C24_MOUSE;sp|A6BLY7|K1C28_MOUSE;sp|B1AQ75|KRT36_MOUSE;sp|P02535|K1C10_MOUSE;sp|P05784|K1C18_MOUSE;sp|P08730|K1C13_MOUSE;sp|P19001|K1C19_MOUSE;sp|Q497I4|KRT35_MOUSE;sp|Q61414|K1C15_MOUSE;sp|Q61765|K1H1_MOUSE;sp|Q61781|K1C14_MOUSE;sp|Q61897|KT33B_MOUSE;sp|Q62168|K1H2_MOUSE;sp|Q6IFX2|K1C42_MOUSE;sp|Q6IFX3|K1C40_MOUSE;sp|Q9QWL7|K1C17_MOUSE;sp|Q9Z2K1|K1C16_MOUSE,1,4
sp|A1L3P4|SL9A6_MOUSE,1,1
sp|A2A432|CUL4B_MOUSE,3,3
sp|A2A432|CUL4B_MOUSE;sp|Q3TCH7|CUL4A_MOUSE,2,2
sp|A2A5R2|BIG2_MOUSE,3,3
sp|A2A5R2|BIG2_MOUSE;sp|G3X9K3|BIG1_MOUSE,2,2
sp|A2A863|ITB4_MOUSE,4,4
sp|A2A974|CP4CB_MOUSE;sp|O35728|CP4AE_MOUSE;sp|O88833|CP4AA_MOUSE;sp|Q91WL5|CP4CA_MOUSE,1,1
sp|A2A974|CP4CB_MOUSE;sp|O35728|CP4AE_MOUSE;sp|Q91WL5|CP4CA_MOUSE,2,2
sp|A2A974|CP4CB_MOUSE;sp|O88833|CP4AA_MOUSE;sp|Q91WL5|CP4CA_MOUSE,4,4
sp|A2ADY9|DDI2_MOUSE,7,9
sp|A2AGT5|CKAP5_MOUSE,3,3
sp|A2AHG0|LZTS3_MOUSE,1,1
sp|A2AIL4|NDUF6_MOUSE,1,1
sp|A2AIV2|VIR_MOUSE,1,1
sp|A2AJL3|FGGY_MOUSE,17,24
sp|A2AKG8|FOCAD_MOUSE,2,2
sp|A2AKK5|ACNT1_MOUSE;sp|Q8BGG9|ACNT2_MOUSE,4,5
sp|A2AKQ0|S35D1_MOUSE,1,4
sp|A2AN08|UBR4_MOUSE,6,6
sp|A2AQ07|TBB1_MOUSE;sp|P68372|TBB4B_MOUSE;sp|P99024|TBB5_MOUSE;sp|Q7TMM9|TBB2A_MOUSE;sp|Q922F4|TBB6_MOUSE;sp|Q9CWF2|TBB2B_MOUSE;sp|Q9D6F9|TBB4A_MOUSE;sp|Q9ERD7|TBB3_MOUSE,8,34
sp|A2AQH4|BCORL_MOUSE,2,2
sp|A2AQW0|M3K15_MOUSE,1,3
sp|A2AS89|GDAH_MOUSE,25,51
sp|A2ASS6|TITIN_MOUSE,24,26
sp|A2ASZ8|SCMC2_MOUSE,3,3
sp|A2ATU0|DHTK1_MOUSE,45,60
sp|A2BDX3|MOCS3_MOUSE,1,1
sp|A2BIM8|MUP18_MOUSE;sp|B5X0G2|MUP17_MOUSE;sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE,1,1
sp|A2BIM8|MUP18_MOUSE;sp|B5X0G2|MUP17_MOUSE;sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE;sp|P11588|MUP1_MOUSE,2,7
sp|A2BIM8|MUP18_MOUSE;sp|B5X0G2|MUP17_MOUSE;sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE;sp|P11588|MUP1_MOUSE;sp|P11589|MUP2_MOUSE,15,28
sp|A2BIM8|MUP18_MOUSE;sp|B5X0G2|MUP17_MOUSE;sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE;sp|P11588|MUP1_MOUSE;sp|P11589|MUP2_MOUSE;sp|P11591|MUP5_MOUSE,1,1
sp|A2BIM8|MUP18_MOUSE;sp|P02762|MUP6_MOUSE;sp|P04938|MUP11_MOUSE;sp|P11588|MUP1_MOUSE;sp|P11589|MUP2_MOUSE,10,16
sp|A2RSQ0|DEN5B_MOUSE,1,1
sp|A3KMP2|TTC38_MOUSE,15,22
sp|A6H584|CO6A5_MOUSE,2,2
sp|A6H611|MIPEP_MOUSE,2,2
sp|A6X935|ITIH4_MOUSE,5,5
sp|B1AR13|CISD3_MOUSE,5,6
sp|B1AVY7|KI16B_MOUSE;sp|O35071|KIF1C_MOUSE;sp|Q80TF6|STAR9_MOUSE;sp|Q9EQW7|KI13A_MOUSE,1,1
sp|B1AY13|UBP24_MOUSE,1,1
sp|B2RQC6|PYR1_MOUSE,9,9
sp|B2RQC6|PYR1_MOUSE;sp|Q8C196|CPSM_MOUSE,4,31
sp|B2RRE7|OTUD4_MOUSE,1,1
sp|B2RSH2|GNAI1_MOUSE;sp|P08752|GNAI2_MOUSE,3,3
sp|B2RSH2|GNAI1_MOUSE;sp|P08752|GNAI2_MOUSE;sp|P18872|GNAO_MOUSE;sp|Q9DC51|GNAI3_MOUSE,1,1
sp|B2RSH2|GNAI1_MOUSE;sp|P08752|GNAI2_MOUSE;sp|Q9DC51|GNAI3_MOUSE,4,4
sp|B2RWS6|EP300_MOUSE,3,3
sp|B2RWS6|EP300_MOUSE;sp|P45481|CBP_MOUSE,2,2
sp|B2RX12|MRP3_MOUSE,6,7
sp|B2RXS4|PLXB2_MOUSE,7,7
sp|B2RY56|RBM25_MOUSE,7,7
sp|B5X0E4|ABCB5_MOUSE;sp|P21440|MDR3_MOUSE,1,1
sp|B7ZMP1|XPP3_MOUSE,4,4
sp|B9EJ86|OSBL8_MOUSE,2,2
sp|C0HKD8|MFA1A_MOUSE;sp|C0HKD9|MFA1B_MOUSE,1,1
sp|C0HKE1|H2A1B_MOUSE;sp|C0HKE2|H2A1C_MOUSE;sp|C0HKE3|H2A1D_MOUSE;sp|C0HKE4|H2A1E_MOUSE;sp|C0HKE5|H2A1G_MOUSE;sp|C0HKE6|H2A1I_MOUSE;sp|C0HKE7|H2A1N_MOUSE;sp|C0HKE8|H2A1O_MOUSE;sp|C0HKE9|H2A1P_MOUSE;sp|P0C0S6|H2AZ_MOUSE;sp|P27661|H2AX_MOUSE;sp|Q3THW5|H2AV_MOUSE;sp|Q64522|H2A2B_MOUSE;sp|Q64523|H2A2C_MOUSE;sp|Q6GSS7|H2A2A_MOUSE;sp|Q8BFU2|H2A3_MOUSE;sp|Q8CGP5|H2A1F_MOUSE;sp|Q8CGP6|H2A1H_MOUSE;sp|Q8CGP7|H2A1K_MOUSE;sp|Q8R1M2|H2AJ_MOUSE,1,3
sp|C0HKE1|H2A1B_MOUSE;sp|C0HKE2|H2A1C_MOUSE;sp|C0HKE3|H2A1D_MOUSE;sp|C0HKE4|H2A1E_MOUSE;sp|C0HKE5|H2A1G_MOUSE;sp|C0HKE6|H2A1I_MOUSE;sp|C0HKE7|H2A1N_MOUSE;sp|C0HKE8|H2A1O_MOUSE;sp|C0HKE9|H2A1P_MOUSE;sp|P0C0S6|H2AZ_MOUSE;sp|P27661|H2AX_MOUSE;sp|Q3THW5|H2AV_MOUSE;sp|Q64523|H2A2C_MOUSE;sp|Q6GSS7|H2A2A_MOUSE;sp|Q8BFU2|H2A3_MOUSE;sp|Q8CGP5|H2A1F_MOUSE;sp|Q8CGP6|H2A1H_MOUSE;sp|Q8CGP7|H2A1K_MOUSE;sp|Q8R1M2|H2AJ_MOUSE,1,12
sp|C0HKE1|H2A1B_MOUSE;sp|C0HKE2|H2A1C_MOUSE;sp|C0HKE3|H2A1D_MOUSE;sp|C0HKE4|H2A1E_MOUSE;sp|C0HKE5|H2A1G_MOUSE;sp|C0HKE6|H2A1I_MOUSE;sp|C0HKE7|H2A1N_MOUSE;sp|C0HKE8|H2A1O_MOUSE;sp|C0HKE9|H2A1P_MOUSE;sp|P27661|H2AX_MOUSE;sp|Q64523|H2A2C_MOUSE;sp|Q6GSS7|H2A2A_MOUSE;sp|Q8BFU2|H2A3_MOUSE;sp|Q8CGP5|H2A1F_MOUSE;sp|Q8CGP6|H2A1H_MOUSE;sp|Q8CGP7|H2A1K_MOUSE;sp|Q8R1M2|H2AJ_MOUSE,5,8
sp|C0HKE1|H2A1B_MOUSE;sp|C0HKE2|H2A1C_MOUSE;sp|C0HKE3|H2A1D_MOUSE;sp|C0HKE4|H2A1E_MOUSE;sp|C0HKE5|H2A1G_MOUSE;sp|C0HKE6|H2A1I_MOUSE;sp|C0HKE7|H2A1N_MOUSE;sp|C0HKE8|H2A1O_MOUSE;sp|C0HKE9|H2A1P_MOUSE;sp|Q64523|H2A2C_MOUSE;sp|Q6GSS7|H2A2A_MOUSE;sp|Q8BFU2|H2A3_MOUSE;sp|Q8CGP5|H2A1F_MOUSE;sp|Q8CGP6|H2A1H_MOUSE;sp|Q8CGP7|H2A1K_MOUSE;sp|Q8R1M2|H2AJ_MOUSE,2,12
sp|C0HKE1|H2A1B_MOUSE;sp|C0HKE2|H2A1C_MOUSE;sp|C0HKE3|H2A1D_MOUSE;sp|C0HKE4|H2A1E_MOUSE;sp|C0HKE5|H2A1G_MOUSE;sp|C0HKE6|H2A1I_MOUSE;sp|C0HKE7|H2A1N_MOUSE;sp|C0HKE8|H2A1O_MOUSE;sp|C0HKE9|H2A1P_MOUSE;sp|Q8BFU2|H2A3_MOUSE;sp|Q8CGP5|H2A1F_MOUSE;sp|Q8CGP6|H2A1H_MOUSE;sp|Q8CGP7|H2A1K_MOUSE;sp|Q8R1M2|H2AJ_MOUSE,6,7
sp|C0HKG5|RNT2A_MOUSE;sp|C0HKG6|RNT2B_MOUSE,6,8
sp|D3YXK2|SAFB1_MOUSE,2,2
sp|D3Z7P3|GLSK_MOUSE,1,1
sp|E0CYC6|NAT8B_MOUSE;sp|Q8CHQ9|NT8F2_MOUSE;sp|Q9JIY7|NAT8_MOUSE;sp|Q9JIZ0|CMLO1_MOUSE,1,2
sp|E0CYR6|NT8F7_MOUSE;sp|Q9JIY8|NT8F3_MOUSE,1,1
sp|E9PV24|FIBA_MOUSE,13,17
sp|E9PVA8|GCN1_MOUSE,24,25
sp|E9PW05|ZFP54_MOUSE,1,1
sp|E9PWZ3|RL3L_MOUSE,4,5
sp|E9PWZ3|RL3L_MOUSE;sp|P27659|RL3_MOUSE,3,5
sp|E9PZJ8|ASCC3_MOUSE,2,2
sp|E9Q0S6|TENS1_MOUSE,2,2
sp|E9Q0S6|TENS1_MOUSE;sp|Q5SSZ5|TENS3_MOUSE;sp|Q8CGB6|TENS2_MOUSE,1,1
sp|E9Q137|TX264_MOUSE,2,2
sp|E9Q3C1|C2CD2_MOUSE,2,2
sp|E9Q3L2|PI4KA_MOUSE,2,2
sp|E9Q401|RYR2_MOUSE,4,4
sp|E9Q414|APOB_MOUSE,29,33
sp|E9Q4N7|ARI1B_MOUSE,4,4
sp|E9Q4Z2|ACACB_MOUSE,13,13
sp|E9Q4Z2|ACACB_MOUSE;sp|Q5SWU9|ACACA_MOUSE,5,8
sp|E9Q557|DESP_MOUSE,25,27
sp|E9Q5C9|NOLC1_MOUSE,3,3
sp|E9Q5K4|CP2CN_MOUSE,1,1
sp|E9Q634|MYO1E_MOUSE,2,2
sp|E9Q6J5|BD1L1_MOUSE,1,1
sp|E9Q735|UBE4A_MOUSE,4,4
sp|E9Q7G0|NUMA1_MOUSE,6,6
sp|E9Q912|GDS1_MOUSE,4,4
sp|E9QAM5|HELZ2_MOUSE,2,2
sp|E9QAT4|SC16A_MOUSE,2,2
sp|F6ZDS4|TPR_MOUSE,14,14
sp|G3X8U3|QNG1_MOUSE,3,3
sp|G3X982|AOXC_MOUSE,12,15
sp|G3X982|AOXC_MOUSE;sp|O54754|AOXA_MOUSE,1,1
sp|G5E829|AT2B1_MOUSE;sp|Q6Q477|AT2B4_MOUSE;sp|Q9R0K7|AT2B2_MOUSE,3,4
sp|G5E8K5|ANK3_MOUSE,8,8
sp|O08528|HXK2_MOUSE,2,2
sp|O08529|CAN2_MOUSE,3,3
sp|O08539|BIN1_MOUSE,2,2
sp|O08547|SC22B_MOUSE,10,11
sp|O08553|DPYL2_MOUSE,19,19
sp|O08553|DPYL2_MOUSE;sp|P97427|DPYL1_MOUSE;sp|Q62188|DPYL3_MOUSE,1,1
sp|O08573|LEG9_MOUSE,16,22
sp|O08583|THOC4_MOUSE,9,9
sp|O08583|THOC4_MOUSE;sp|Q9JJW6|ALRF2_MOUSE,2,2
sp|O08585|CLCA_MOUSE,8,9
sp|O08599|STXB1_MOUSE,4,4
sp|O08600|NUCG_MOUSE,5,5
sp|O08601|MTP_MOUSE,45,73
sp|O08638|MYH11_MOUSE,31,32
sp|O08638|MYH11_MOUSE;sp|Q61879|MYH10_MOUSE;sp|Q6URW6|MYH14_MOUSE;sp|Q8VDD5|MYH9_MOUSE,3,3
sp|O08638|MYH11_MOUSE;sp|Q6URW6|MYH14_MOUSE;sp|Q8VDD5|MYH9_MOUSE,5,6
sp|O08638|MYH11_MOUSE;sp|Q8VDD5|MYH9_MOUSE,6,6
sp|O08663|MAP2_MOUSE,4,4
sp|O08677|KNG1_MOUSE,9,10
sp|O08705|NTCP_MOUSE,2,5
sp|O08709|PRDX6_MOUSE,46,136
sp|O08738|CASP6_MOUSE,5,5
sp|O08746|MATN2_MOUSE,2,2
sp|O08749|DLDH_MOUSE,41,71
sp|O08756|HCD2_MOUSE,29,56
sp|O08759|UBE3A_MOUSE,2,2
sp|O08788|DCTN1_MOUSE,6,9
sp|O08795|GLU2B_MOUSE,12,17
sp|O08800|SPB8_MOUSE,1,1
sp|O08807|PRDX4_MOUSE,18,26
sp|O08807|PRDX4_MOUSE;sp|P35700|PRDX1_MOUSE,1,3
sp|O08808|DIAP1_MOUSE,12,15
sp|O08810|U5S1_MOUSE,14,19
sp|O08810|U5S1_MOUSE;sp|P58252|EF2_MOUSE,2,5
sp|O08811|ERCC2_MOUSE,2,2
sp|O08914|FAAH1_MOUSE,11,18
sp|O08917|FLOT1_MOUSE,5,5
sp|O08997|ATOX1_MOUSE,5,6
sp|O09043|NAPSA_MOUSE,1,1
sp|O09044|SNP23_MOUSE,3,3
sp|O09061|PSB1_MOUSE,17,17
sp|O09110|MP2K3_MOUSE,3,3
sp|O09117|SYPL1_MOUSE,1,1
sp|O09131|GSTO1_MOUSE,11,18
sp|O09131|GSTO1_MOUSE;sp|Q8K2Q2|GSTO2_MOUSE,3,3
sp|O09158|CP3AP_MOUSE,12,17
