protein_group,precursor_num,scan_num
sp|A0A0U1RRI6|CENL3_HUMAN,1,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,2,2
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1,3
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,3,4
sp|A1A5B4|ANO9_HUMAN,1,1
sp|A1L0T0|HACL2_HUMAN,1,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2,3
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,3,11
sp|A6NDG6|PGP_HUMAN,1,1
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,2,2
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,1,1
sp|A6NHL2|TBAL3_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN,1,1
sp|A6NHQ2|FBLL1_HUMAN,1,1
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,10,16
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,6,7
sp|B0I1T2|MYO1G_HUMAN,2,2
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN,2,2
sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P07910|HNRPC_HUMAN;sp|P0DMR1|HNRC4_HUMAN,5,5
sp|B5ME19|EIFCL_HUMAN;sp|Q99613|EIF3C_HUMAN,2,2
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN,5,6
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN,3,4
sp|O00231|PSD11_HUMAN,1,1
sp|O00264|PGRC1_HUMAN,2,2
sp|O00299|CLIC1_HUMAN,1,1
sp|O00410|IPO5_HUMAN,1,1
sp|O00422|SAP18_HUMAN,1,1
sp|O00425|IF2B3_HUMAN,1,1
sp|O00567|NOP56_HUMAN,1,1
sp|O00571|DDX3X_HUMAN,1,1
sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,3,3
sp|O00763|ACACB_HUMAN,1,1
sp|O00767|SCD_HUMAN,1,1
sp|O14744|ANM5_HUMAN,4,4
sp|O14745|NHRF1_HUMAN,1,1
sp|O14787|TNPO2_HUMAN,1,1
sp|O14818|PSA7_HUMAN,2,2
sp|O14929|HAT1_HUMAN,1,1
sp|O14950|ML12B_HUMAN;sp|P19105|ML12A_HUMAN;sp|P24844|MYL9_HUMAN,1,1
sp|O14979|HNRDL_HUMAN,2,3
sp|O14980|XPO1_HUMAN,3,3
sp|O14983|AT2A1_HUMAN;sp|P16615|AT2A2_HUMAN,1,1
sp|O15042|SR140_HUMAN,1,1
sp|O15067|PUR4_HUMAN,1,1
sp|O15111|IKKA_HUMAN,1,1
sp|O15118|NPC1_HUMAN,1,3
sp|O15164|TIF1A_HUMAN,1,1
sp|O15344|TRI18_HUMAN,1,1
sp|O15347|HMGB3_HUMAN,1,1
sp|O15371|EIF3D_HUMAN,1,1
sp|O15372|EIF3H_HUMAN,2,2
sp|O43143|DHX15_HUMAN,1,1
sp|O43175|SERA_HUMAN,9,10
sp|O43242|PSMD3_HUMAN,1,1
sp|O43390|HNRPR_HUMAN,2,2
sp|O43390|HNRPR_HUMAN;sp|O60506|HNRPQ_HUMAN,3,3
sp|O43399|TPD54_HUMAN,1,1
sp|O43423|AN32C_HUMAN;sp|P39687|AN32A_HUMAN,1,1
sp|O43488|ARK72_HUMAN,1,1
sp|O43615|TIM44_HUMAN,1,1
sp|O43670|ZN207_HUMAN,1,1
sp|O43684|BUB3_HUMAN,1,1
sp|O43707|ACTN4_HUMAN,8,8
sp|O43707|ACTN4_HUMAN;sp|P12814|ACTN1_HUMAN,1,1
sp|O43707|ACTN4_HUMAN;sp|P12814|ACTN1_HUMAN;sp|P35609|ACTN2_HUMAN;sp|Q08043|ACTN3_HUMAN,1,1
sp|O43776|SYNC_HUMAN,2,2
sp|O43809|CPSF5_HUMAN,1,1
sp|O43837|IDH3B_HUMAN,1,1
sp|O43852|CALU_HUMAN,1,1
sp|O43865|SAHH2_HUMAN;sp|Q96HN2|SAHH3_HUMAN,1,1
sp|O60361|NDK8_HUMAN;sp|P15531|NDKA_HUMAN;sp|P22392|NDKB_HUMAN,2,4
sp|O60361|NDK8_HUMAN;sp|P22392|NDKB_HUMAN,1,1
sp|O60506|HNRPQ_HUMAN,4,5
sp|O60664|PLIN3_HUMAN,2,2
sp|O60739|EIF1B_HUMAN;sp|P41567|EIF1_HUMAN,2,2
sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1,1
