protein_group,precursor_num,scan_num
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,1,2
sp|A0A075B6H7|KV37_HUMAN,1,5
sp|A0A075B6H8|KVD42_HUMAN,1,1
sp|A0A075B6H9|LV469_HUMAN,1,2
sp|A0A075B6I1|LV460_HUMAN,2,3
sp|A0A075B6J9|LV218_HUMAN,3,3
sp|A0A075B6K0|LV316_HUMAN,1,1
sp|A0A075B6K4|LV310_HUMAN,1,1
sp|A0A075B6K5|LV39_HUMAN,1,1
sp|A0A075B6R2|HV404_HUMAN;sp|A0A087WSY4|HV432_HUMAN;sp|A0A0C4DH41|HV461_HUMAN;sp|P01824|HV439_HUMAN;sp|P01825|HV459_HUMAN;sp|P06331|HV434_HUMAN;sp|P0DP06|HVD34_HUMAN;sp|P0DP07|HV431_HUMAN;sp|P0DP08|HVD82_HUMAN,1,1
sp|A0A075B6S4|KVD17_HUMAN;sp|P01599|KV117_HUMAN,1,1
sp|A0A075B6S5|KV127_HUMAN,1,1
sp|A0A075B6S9|KV137_HUMAN;sp|P0DSN7|KVD37_HUMAN,1,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P0DN37|PAL4G_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN,1,1
sp|A0A075B767|PAL4H_HUMAN,3,3
sp|A0A087WSY4|HV432_HUMAN,2,2
sp|A0A087WSY6|KVD15_HUMAN;sp|P01624|KV315_HUMAN,2,2
sp|A0A087WUV0|ZN892_HUMAN,2,2
sp|A0A087X1C5|CP2D7_HUMAN;sp|P10635|CP2D6_HUMAN,1,1
sp|A0A0A6YYL3|POTEB_HUMAN;sp|A0JP26|POTB3_HUMAN;sp|A5A3E0|POTEF_HUMAN;sp|A6NI47|POTEM_HUMAN;sp|B2RU33|POTEC_HUMAN;sp|H3BUK9|POTB2_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S545|POTEH_HUMAN;sp|Q6S5H5|POTEG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q6S8J7|POTEA_HUMAN,1,1
sp|A0A0B4J1V1|HV321_HUMAN,1,1
sp|A0A0B4J1V1|HV321_HUMAN;sp|A0A0C4DH32|HV320_HUMAN;sp|P01762|HV311_HUMAN;sp|P01763|HV348_HUMAN;sp|P01780|HV307_HUMAN;sp|P01782|HV309_HUMAN,1,1
sp|A0A0B4J1V2|HV226_HUMAN,1,1
sp|A0A0B4J1V6|HV373_HUMAN,2,2
sp|A0A0B4J1X5|HV374_HUMAN;sp|A0A0C4DH42|HV366_HUMAN;sp|P01764|HV323_HUMAN;sp|P01767|HV353_HUMAN;sp|P01768|HV330_HUMAN;sp|P01772|HV333_HUMAN;sp|P0DP02|HVC33_HUMAN;sp|P0DP03|HVC05_HUMAN,2,2
sp|A0A0B4J1X8|HV343_HUMAN,1,1
sp|A0A0B4J1Y8|LV949_HUMAN,1,1
sp|A0A0B4J1Y9|HV372_HUMAN,1,2
sp|A0A0B4J272|TVA24_HUMAN,1,1
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,14,23
sp|A0A0B4J2H0|HV69D_HUMAN,1,1
sp|A0A0B4J2H0|HV69D_HUMAN;sp|P01742|HV169_HUMAN,1,1
sp|A0A0C4DH29|HV103_HUMAN,1,1
sp|A0A0C4DH31|HV118_HUMAN,3,3
sp|A0A0C4DH32|HV320_HUMAN,1,1
sp|A0A0C4DH34|HV428_HUMAN,1,1
sp|A0A0C4DH34|HV428_HUMAN;sp|P0DP06|HVD34_HUMAN;sp|P0DP07|HV431_HUMAN,1,1
sp|A0A0C4DH36|HV338_HUMAN,5,5
sp|A0A0C4DH38|HV551_HUMAN,2,2
sp|A0A0C4DH69|KV109_HUMAN,1,1
sp|A0A0C4DH72|KV106_HUMAN,1,1
sp|A0A0C4DH72|KV106_HUMAN;sp|A0A0C4DH73|KV112_HUMAN;sp|P01597|KV139_HUMAN;sp|P01611|KVD12_HUMAN;sp|P04432|KVD39_HUMAN,1,1
sp|A0A0J9YY54|TX13D_HUMAN,3,3
sp|A0A0U1RQE8|GLYLB_HUMAN,1,1
sp|A0A0U1RRE5|NBDY_HUMAN,2,4
sp|A0A1B0GUS4|UB2L5_HUMAN,1,2
sp|A0A1B0GUS4|UB2L5_HUMAN;sp|P68036|UB2L3_HUMAN,7,20
sp|A0A1B0GUY1|MRCOL_HUMAN,1,1
sp|A0A1B0GV03|GG6L7_HUMAN,1,1
sp|A0A1B0GVG4|CC194_HUMAN,1,1
sp|A0A1W2PPW3|TFKLL_HUMAN;sp|A0A1W2PQ09|TFKLK_HUMAN,1,1
sp|A0A286YF58|TM271_HUMAN,1,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN,7,25
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN,2,2
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,12,37
sp|A0A2R8Y619|H2BK1_HUMAN,1,1
sp|A0A3B3IRV3|MCTS2_HUMAN,1,1
sp|A0A3B3IRV3|MCTS2_HUMAN;sp|Q9ULC4|MCTS1_HUMAN,6,10
sp|A0A3B3IS91|PLGRF_HUMAN,1,1
sp|A0A494C071|PWWP4_HUMAN,1,1
sp|A0A494C0N9|F246B_HUMAN;sp|A0A494C0Y3|F246A_HUMAN,1,1
sp|A0A584|TVBK2_HUMAN,1,1
sp|A0A804HLA8|GBG5B_HUMAN;sp|P63218|GBG5_HUMAN,1,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,20,36
sp|A0AV96|RBM47_HUMAN,7,11
sp|A0AV96|RBM47_HUMAN;sp|Q8TBY0|RBM46_HUMAN;sp|Q9NQ94|A1CF_HUMAN,1,1
sp|A0AVF1|IFT56_HUMAN,1,1
sp|A0AVT1|UBA6_HUMAN,35,51
sp|A0FGR8|ESYT2_HUMAN,8,11
sp|A0M8Q6|IGLC7_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|P0DOY2|IGLC2_HUMAN;sp|P0DOY3|IGLC3_HUMAN,2,2
sp|A0MZ66|SHOT1_HUMAN,15,21
sp|A0PJE2|DHR12_HUMAN,1,1
sp|A0PJW8|DAPL1_HUMAN,1,1
sp|A1A4Y4|IRGM_HUMAN,1,1
sp|A1IGU5|ARH37_HUMAN,2,2
sp|A1KXE4|F168B_HUMAN,1,1
sp|A1L0T0|HACL2_HUMAN,20,33
sp|A1L390|PKHG3_HUMAN,1,1
sp|A1X283|SPD2B_HUMAN,2,2
sp|A2A2Z9|AN18B_HUMAN;sp|Q8IVF6|AN18A_HUMAN,1,1
sp|A2A3N6|PIPSL_HUMAN;sp|P55036|PSMD4_HUMAN,2,2
sp|A2RRD8|ZN320_HUMAN;sp|P0CJ79|ZN888_HUMAN;sp|P17035|ZNF28_HUMAN;sp|Q3MIS6|ZN528_HUMAN;sp|Q5VIY5|ZN468_HUMAN;sp|Q6ZN06|ZN813_HUMAN;sp|Q7L2R6|ZN765_HUMAN;sp|Q86XN6|ZN761_HUMAN;sp|Q8N782|ZN525_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96SE7|ZN347_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9NV72|ZN701_HUMAN,1,1
sp|A2RRD8|ZN320_HUMAN;sp|Q6ZNA1|ZN836_HUMAN;sp|Q8TBZ5|ZN502_HUMAN,1,1
sp|A2RRP1|NBAS_HUMAN,2,2
sp|A2RTX5|SYTC2_HUMAN;sp|P26639|SYTC_HUMAN,4,12
sp|A2RU37|CI170_HUMAN,1,1
sp|A2RUS2|DEND3_HUMAN,2,2
sp|A3KMH1|VWA8_HUMAN,7,10
sp|A3KN83|SBNO1_HUMAN,7,8
sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,1,1
sp|A4D0S4|LAMB4_HUMAN,1,1
sp|A4D1E9|GTPBA_HUMAN,3,5
sp|A4D1F6|LRRD1_HUMAN,1,1
sp|A4D1S5|RAB19_HUMAN,2,2
sp|A4D2H0|CTGEF_HUMAN;sp|Q86UF2|CTGE6_HUMAN;sp|Q96PC5|MIA2_HUMAN,1,1
sp|A4FU28|CTGE9_HUMAN;sp|Q96PC5|MIA2_HUMAN,1,1
sp|A4FU49|SH321_HUMAN,1,1
sp|A4FU69|EFCB5_HUMAN,1,1
sp|A4UGR9|XIRP2_HUMAN,1,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2,7
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,5,116
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,4,15
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2,3
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2,12
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2,2
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,3,9
sp|A5A3E0|POTEF_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1,1
sp|A5A3E0|POTEF_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1,1
sp|A5D8V6|VP37C_HUMAN,1,1
sp|A5LHX3|PSB11_HUMAN,1,1
sp|A5PL33|KRBA1_HUMAN,1,1
sp|A5PLK6|RGSL_HUMAN,1,1
sp|A5YKK6|CNOT1_HUMAN,33,42
sp|A6NC98|CC88B_HUMAN,2,2
sp|A6NCN2|KR87P_HUMAN;sp|O43790|KRT86_HUMAN;sp|P78385|KRT83_HUMAN;sp|P78386|KRT85_HUMAN;sp|Q14533|KRT81_HUMAN,3,13
sp|A6NCW0|U17L3_HUMAN;sp|A8MUK1|U17L5_HUMAN;sp|C9J2P7|U17LF_HUMAN;sp|C9JJH3|U17LA_HUMAN;sp|C9JLJ4|U17LD_HUMAN;sp|C9JPN9|UL17C_HUMAN;sp|C9JVI0|U17LB_HUMAN;sp|D6R901|U17LL_HUMAN;sp|D6R9N7|U17LI_HUMAN;sp|D6RA61|U17LM_HUMAN;sp|D6RBQ6|U17LH_HUMAN;sp|D6RCP7|U17LJ_HUMAN;sp|D6RJB6|U17LK_HUMAN;sp|Q0WX57|U17LO_HUMAN;sp|Q7RTZ2|U17L1_HUMAN,1,1
sp|A6NDG6|PGP_HUMAN,8,8
sp|A6NDR6|ME3L1_HUMAN;sp|O00470|MEIS1_HUMAN;sp|O14770|MEIS2_HUMAN;sp|Q99687|MEIS3_HUMAN,1,1
sp|A6NDU8|RIMC1_HUMAN,3,5
sp|A6NEC2|PSAL_HUMAN,1,1
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,10,15
sp|A6NED2|RCCD1_HUMAN,2,3
sp|A6NEV1|PR23A_HUMAN,1,1
sp|A6NF01|P121B_HUMAN;sp|A8CG34|P121C_HUMAN;sp|Q96HA1|P121A_HUMAN,1,1
sp|A6NFI3|ZN316_HUMAN,1,1
sp|A6NFN3|RFOX3_HUMAN,2,4
sp|A6NFN3|RFOX3_HUMAN;sp|O43251|RFOX2_HUMAN;sp|Q9NWB1|RFOX1_HUMAN,1,1
sp|A6NGQ2|OOEP_HUMAN,1,2
sp|A6NHC0|CAN8_HUMAN,4,4
sp|A6NHG4|DDTL_HUMAN;sp|P30046|DOPD_HUMAN,3,5
sp|A6NHL2|TBAL3_HUMAN,7,7
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,1,1
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,4,5
sp|A6NHL2|TBAL3_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN,2,5
sp|A6NHQ2|FBLL1_HUMAN;sp|P22087|FBRL_HUMAN,1,1
sp|A6NHR9|SMHD1_HUMAN,12,15
sp|A6NHS7|MANS4_HUMAN,1,1
sp|A6NI72|NCF1B_HUMAN;sp|A8MVU1|NCF1C_HUMAN;sp|P14598|NCF1_HUMAN,2,5
sp|A6NIH7|U119B_HUMAN,2,3
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN,2,4
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN;sp|P62834|RAP1A_HUMAN,4,10
sp|A6NJU9|NPB13_HUMAN;sp|A8MRT5|NPIB5_HUMAN;sp|C9JG80|NPIB4_HUMAN;sp|E5RHQ5|NPB11_HUMAN;sp|F8W0I5|NPB12_HUMAN;sp|Q92617|NPIB3_HUMAN,1,1
sp|A6NK75|ZNF98_HUMAN,1,1
sp|A6NKB5|PCX2_HUMAN,1,1
sp|A6NKD9|CC85C_HUMAN,4,5
sp|A6NKF1|SAC31_HUMAN,1,1
sp|A6NKH3|RL37L_HUMAN;sp|P61513|RL37A_HUMAN,1,1
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN;sp|Q99666|RGPD5_HUMAN,3,4
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q99666|RGPD5_HUMAN,2,4
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN;sp|Q99666|RGPD5_HUMAN,4,5
sp|A6NKT7|RGPD3_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN,3,4
sp|A6NKT7|RGPD3_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN,1,3
sp|A6NL82|CF144_HUMAN,1,1
sp|A6NL88|SHSA7_HUMAN,1,1
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,24,98
sp|A6NMZ7|CO6A6_HUMAN,6,6
sp|A6NNY8|UBP27_HUMAN,1,1
sp|A6NNY8|UBP27_HUMAN;sp|Q9UPT9|UBP22_HUMAN,2,5
sp|A6NNZ2|TBB8B_HUMAN,2,2
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN,7,15
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN,2,4
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,9,26
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN,5,57
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BVA1|TBB2B_HUMAN,1,11
sp|A6NNZ2|TBB8B_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,2,3
sp|A6NNZ2|TBB8B_HUMAN;sp|Q3ZCM7|TBB8_HUMAN,4,4
sp|A7E2V4|ZSWM8_HUMAN,2,3
sp|A7E2Y1|MYH7B_HUMAN,6,6
