protein_group,precursor_num,scan_num
sp|A0A024R1R8|TMA7B_HUMAN;sp|Q9Y2S6|TMA7_HUMAN,2,2
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P0DN37|PAL4G_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1,1
sp|A0A1B0GUS4|UB2L5_HUMAN;sp|P68036|UB2L3_HUMAN,2,2
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN,3,3
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|P51991|ROA3_HUMAN;sp|Q13151|ROA0_HUMAN;sp|Q32P51|RA1L2_HUMAN,1,2
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN,2,2
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,6,6
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1,1
sp|A0A804HLA8|GBG5B_HUMAN;sp|P63218|GBG5_HUMAN,1,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,6,6
sp|A2RTX5|SYTC2_HUMAN;sp|P26639|SYTC_HUMAN,3,3
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2,3
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2,6
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,4,5
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,3,6
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2,3
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,7,7
sp|A6NHG4|DDTL_HUMAN;sp|P30046|DOPD_HUMAN,2,2
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,2,2
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,2,2
sp|A6NHQ2|FBLL1_HUMAN;sp|P22087|FBRL_HUMAN,1,1
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN;sp|P62834|RAP1A_HUMAN,2,2
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,23,26
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,4,11
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN,3,3
sp|A6NNZ2|TBB8B_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BVA1|TBB2B_HUMAN;sp|Q9H4B7|TBB1_HUMAN,1,1
sp|A8MQ03|CRTP1_HUMAN,1,1
sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P08754|GNAI3_HUMAN;sp|P09471|GNAO_HUMAN;sp|P11488|GNAT1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|P63096|GNAI1_HUMAN;sp|Q03113|GNA12_HUMAN;sp|Q14344|GNA13_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,1,1
sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P08754|GNAI3_HUMAN;sp|P11488|GNAT1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P63096|GNAI1_HUMAN,1,2
sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN,2,2
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN,5,5
sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P07910|HNRPC_HUMAN;sp|P0DMR1|HNRC4_HUMAN,7,7
sp|B5ME19|EIFCL_HUMAN;sp|Q99613|EIF3C_HUMAN,2,2
sp|C9JRZ8|AK1BF_HUMAN;sp|P15121|ALDR_HUMAN,1,1
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN,5,5
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN;sp|Q9BZK3|NACP4_HUMAN,2,2
sp|G2XKQ0|SUMO5_HUMAN;sp|P63165|SUMO1_HUMAN,1,1
sp|H7BZ55|CRCC2_HUMAN;sp|P16949|STMN1_HUMAN;sp|Q93045|STMN2_HUMAN;sp|Q9H169|STMN4_HUMAN;sp|Q9NZ72|STMN3_HUMAN,1,1
sp|O00148|DX39A_HUMAN,1,1
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN,11,13
sp|O00151|PDLI1_HUMAN,1,1
sp|O00154|BACH_HUMAN,1,1
sp|O00159|MYO1C_HUMAN,1,1
sp|O00193|SMAP_HUMAN,1,1
sp|O00231|PSD11_HUMAN,7,7
sp|O00232|PSD12_HUMAN,1,1
sp|O00233|PSMD9_HUMAN,2,2
sp|O00244|ATOX1_HUMAN,1,1
sp|O00264|PGRC1_HUMAN,1,1
sp|O00299|CLIC1_HUMAN,7,7
sp|O00303|EIF3F_HUMAN,3,3
sp|O00410|IPO5_HUMAN,3,3
sp|O00410|IPO5_HUMAN;sp|O60518|RNBP6_HUMAN,1,1
sp|O00422|SAP18_HUMAN,1,1
sp|O00425|IF2B3_HUMAN;sp|Q9NZI8|IF2B1_HUMAN,1,1
sp|O00487|PSDE_HUMAN,2,2
sp|O00505|IMA4_HUMAN;sp|O00629|IMA3_HUMAN,1,1
sp|O00567|NOP56_HUMAN,2,2
sp|O00571|DDX3X_HUMAN,6,6
sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,9,9
sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN;sp|P17844|DDX5_HUMAN;sp|Q92841|DDX17_HUMAN,1,1
sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN;sp|Q9NQI0|DDX4_HUMAN,1,1
sp|O00592|PODXL_HUMAN,3,3
sp|O00764|PDXK_HUMAN,3,3
sp|O14556|G3PT_HUMAN;sp|P04406|G3P_HUMAN,2,2
sp|O14602|IF1AY_HUMAN;sp|P47813|IF1AX_HUMAN,3,3
sp|O14684|PTGES_HUMAN,2,3
sp|O14737|PDCD5_HUMAN,3,3
sp|O14744|ANM5_HUMAN,2,2
sp|O14745|NHRF1_HUMAN,9,9
sp|O14787|TNPO2_HUMAN;sp|Q92973|TNPO1_HUMAN,2,2
sp|O14818|PSA7_HUMAN,4,4
sp|O14818|PSA7_HUMAN;sp|Q8TAA3|PSMA8_HUMAN,4,4
sp|O14828|SCAM3_HUMAN,1,1
sp|O14880|MGST3_HUMAN,1,1
sp|O14929|HAT1_HUMAN,1,1
sp|O14950|ML12B_HUMAN;sp|P19105|ML12A_HUMAN,3,3
sp|O14950|ML12B_HUMAN;sp|P19105|ML12A_HUMAN;sp|P24844|MYL9_HUMAN,3,3
sp|O14979|HNRDL_HUMAN,3,3
sp|O14979|HNRDL_HUMAN;sp|Q14103|HNRPD_HUMAN,1,1
sp|O14980|XPO1_HUMAN,5,5
sp|O14983|AT2A1_HUMAN;sp|P16615|AT2A2_HUMAN,1,1
sp|O15020|SPTN2_HUMAN;sp|Q01082|SPTB2_HUMAN,2,3
sp|O15021|MAST4_HUMAN;sp|O60307|MAST3_HUMAN;sp|P51812|KS6A3_HUMAN;sp|Q15349|KS6A2_HUMAN;sp|Q15418|KS6A1_HUMAN;sp|Q6P0Q8|MAST2_HUMAN;sp|Q86UE8|TLK2_HUMAN;sp|Q96GX5|GWL_HUMAN;sp|Q9UK32|KS6A6_HUMAN;sp|Q9UKI8|TLK1_HUMAN;sp|Q9Y2H9|MAST1_HUMAN,1,1
sp|O15067|PUR4_HUMAN,4,4
sp|O15078|CE290_HUMAN;sp|P61077|UB2D3_HUMAN,1,1
sp|O15143|ARC1B_HUMAN,4,4
sp|O15144|ARPC2_HUMAN,8,8
sp|O15145|ARPC3_HUMAN,3,3
sp|O15173|PGRC2_HUMAN,2,2
sp|O15212|PFD6_HUMAN,3,3
sp|O15260|SURF4_HUMAN,1,1
sp|O15305|PMM2_HUMAN,1,1
sp|O15347|HMGB3_HUMAN,2,2
sp|O15355|PPM1G_HUMAN,1,1
sp|O15371|EIF3D_HUMAN,2,2
sp|O15372|EIF3H_HUMAN,2,2
sp|O15427|MOT4_HUMAN,2,2
sp|O43143|DHX15_HUMAN,5,5
sp|O43169|CYB5B_HUMAN,1,1
sp|O43175|SERA_HUMAN,11,11
sp|O43242|PSMD3_HUMAN,4,4
sp|O43295|SRGP3_HUMAN,2,2
sp|O43390|HNRPR_HUMAN,11,11
sp|O43390|HNRPR_HUMAN;sp|O60506|HNRPQ_HUMAN,5,5
sp|O43396|TXNL1_HUMAN,2,2
sp|O43399|TPD54_HUMAN,6,6
sp|O43423|AN32C_HUMAN;sp|P39687|AN32A_HUMAN,1,1
sp|O43447|PPIH_HUMAN,2,2
sp|O43583|DENR_HUMAN,1,1
sp|O43615|TIM44_HUMAN,1,1
sp|O43670|ZN207_HUMAN,2,2
sp|O43684|BUB3_HUMAN,3,3
sp|O43707|ACTN4_HUMAN,43,43
sp|O43707|ACTN4_HUMAN;sp|P12814|ACTN1_HUMAN,8,8
sp|O43707|ACTN4_HUMAN;sp|P12814|ACTN1_HUMAN;sp|P35609|ACTN2_HUMAN,5,5
sp|O43707|ACTN4_HUMAN;sp|P12814|ACTN1_HUMAN;sp|P35609|ACTN2_HUMAN;sp|Q08043|ACTN3_HUMAN,4,4
sp|O43707|ACTN4_HUMAN;sp|P12814|ACTN1_HUMAN;sp|Q08043|ACTN3_HUMAN,1,1
sp|O43707|ACTN4_HUMAN;sp|P35609|ACTN2_HUMAN,2,3
sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN,1,1
sp|O43768|ENSA_HUMAN,1,1
sp|O43768|ENSA_HUMAN;sp|P56211|ARP19_HUMAN,1,1
sp|O43776|SYNC_HUMAN,4,4
