protein_group,precursor_num,scan_num
sp|A0A024R1R8|TMA7B_HUMAN;sp|Q9Y2S6|TMA7_HUMAN,2,2
sp|A0A024RBG1|NUD4B_HUMAN;sp|O95989|NUDT3_HUMAN;sp|Q8NFP7|NUD10_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,1,1
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q8NFP7|NUD10_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN,2,2
sp|A0A075B6Y3|TJA3_HUMAN,1,1
sp|A0A096LP55|QCR6L_HUMAN;sp|P07919|QCR6_HUMAN,1,1
sp|A0A0B4J237|TVA82_HUMAN;sp|P01737|TVA84_HUMAN,1,1
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,4,4
sp|A0A0B4J2E0|TVBL4_HUMAN;sp|A0A1B0GX78|TVBL5_HUMAN;sp|P01733|TVBL3_HUMAN,1,1
sp|A0A0U1RRE5|NBDY_HUMAN,1,1
sp|A0A0U1RRL7|MMPOS_HUMAN,1,1
sp|A0A1B0GUS4|UB2L5_HUMAN;sp|P68036|UB2L3_HUMAN,4,4
sp|A0A1W2PR95|IGB1C_HUMAN;sp|P78318|IGBP1_HUMAN,1,1
sp|A0A2R8Y4L2|RA1L3_HUMAN,1,2
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN,6,12
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN,2,6
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,9,25
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,2,6
sp|A0A3B3IU46|RMACL_HUMAN;sp|Q9BTL3|RAMAC_HUMAN,3,3
sp|A0A5B9|TRBC2_HUMAN;sp|P01850|TRBC1_HUMAN;sp|P0DSE2|TRBR1_HUMAN;sp|P0DTU4|TRBR2_HUMAN,1,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,11,17
sp|A0AVT1|UBA6_HUMAN,16,16
sp|A0FGR8|ESYT2_HUMAN,11,11
sp|A0MZ66|SHOT1_HUMAN,2,2
sp|A2A3N6|PIPSL_HUMAN;sp|P55036|PSMD4_HUMAN,2,2
sp|A2A3N6|PIPSL_HUMAN;sp|Q99755|PI51A_HUMAN,2,2
sp|A2RRP1|NBAS_HUMAN,5,5
sp|A2RTX5|SYTC2_HUMAN;sp|P26639|SYTC_HUMAN,1,1
sp|A3KMH1|VWA8_HUMAN,4,4
sp|A3KN83|SBNO1_HUMAN,4,4
sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,2,2
sp|A4D1E1|Z804B_HUMAN;sp|Q7Z570|Z804A_HUMAN;sp|Q9UKJ3|GPTC8_HUMAN,1,1
sp|A4D1P6|WDR91_HUMAN,2,2
sp|A4FU69|EFCB5_HUMAN,1,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2,16
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2,21
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,3,6
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,1,14
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2,3
sp|A5YKK6|CNOT1_HUMAN,24,25
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN;sp|Q9H492|MLP3A_HUMAN,1,1
sp|A6NDG6|PGP_HUMAN,4,4
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,5,5
sp|A6NFI3|ZN316_HUMAN,1,1
sp|A6NHG4|DDTL_HUMAN;sp|P30046|DOPD_HUMAN,2,2
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q6PEY2|TBA3E_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,1,16
sp|A6NHL2|TBAL3_HUMAN;sp|P0DPH7|TBA3C_HUMAN;sp|P0DPH8|TBA3D_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN;sp|Q9NY65|TBA8_HUMAN,2,11
sp|A6NHL2|TBAL3_HUMAN;sp|P68363|TBA1B_HUMAN;sp|P68366|TBA4A_HUMAN;sp|Q71U36|TBA1A_HUMAN;sp|Q9BQE3|TBA1C_HUMAN,1,18
sp|A6NHQ2|FBLL1_HUMAN;sp|P22087|FBRL_HUMAN,1,1
sp|A6NHR9|SMHD1_HUMAN,12,13
sp|A6NIH7|U119B_HUMAN,3,3
sp|A6NIZ1|RP1BL_HUMAN;sp|O95716|RAB3D_HUMAN;sp|P61224|RAP1B_HUMAN;sp|P62834|RAP1A_HUMAN,1,1
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN,1,1
sp|A6NIZ1|RP1BL_HUMAN;sp|P61224|RAP1B_HUMAN;sp|P62834|RAP1A_HUMAN,2,2
sp|A6NKF1|SAC31_HUMAN,1,1
sp|A6NKH3|RL37L_HUMAN;sp|P61513|RL37A_HUMAN,1,1
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN;sp|Q99666|RGPD5_HUMAN,5,5
sp|A6NKT7|RGPD3_HUMAN;sp|O14715|RGPD8_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN;sp|Q99666|RGPD5_HUMAN,3,3
sp|A6NKT7|RGPD3_HUMAN;sp|P0DJD0|RGPD1_HUMAN;sp|P0DJD1|RGPD2_HUMAN;sp|P49792|RBP2_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN,2,2
sp|A6NKT7|RGPD3_HUMAN;sp|Q7Z3J3|RGPD4_HUMAN,1,1
sp|A6NMY6|AXA2L_HUMAN;sp|P07355|ANXA2_HUMAN,5,5
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN,1,1
sp|A6NNZ2|TBB8B_HUMAN;sp|P04350|TBB4A_HUMAN;sp|P07437|TBB5_HUMAN;sp|P68371|TBB4B_HUMAN;sp|Q13509|TBB3_HUMAN;sp|Q13885|TBB2A_HUMAN;sp|Q3ZCM7|TBB8_HUMAN;sp|Q9BUF5|TBB6_HUMAN;sp|Q9BVA1|TBB2B_HUMAN,1,22
